block,time_of_day,synthetic_demand_mw
1,00:00,3842.29
2,00:15,3845.65
3,00:30,3794.66
4,00:45,3729.56
5,01:00,3641.49
6,01:15,3538.73
7,01:30,3550.75
8,01:45,3468.69
9,02:00,3459.46
10,02:15,3405.6
11,02:30,3297.15
12,02:45,3313.6
13,03:00,3254.54
14,03:15,3212.68
15,03:30,3165.36
16,03:45,3150.71
17,04:00,3173.65
18,04:15,3087.08
19,04:30,3143.22
20,04:45,3110.08
21,05:00,3142.88
22,05:15,3120.0
23,05:30,3088.81
24,05:45,3072.68
25,06:00,3086.7
26,06:15,3158.36
27,06:30,3137.4
28,06:45,3082.15
29,07:00,3070.9
30,07:15,3042.34
31,07:30,2999.69
32,07:45,2913.78
33,08:00,2939.63
34,08:15,2897.28
35,08:30,2874.39
36,08:45,2888.75
37,09:00,2961.41
38,09:15,2994.28
39,09:30,3037.28
40,09:45,3032.62
41,10:00,3021.03
42,10:15,3071.52
43,10:30,3049.54
44,10:45,3032.71
45,11:00,3010.14
46,11:15,3038.27
47,11:30,3007.83
48,11:45,3086.3
49,12:00,3094.98
50,12:15,3026.6
51,12:30,3057.29
52,12:45,3093.46
53,13:00,3031.45
54,13:15,3063.76
55,13:30,3138.46
56,13:45,3161.44
57,14:00,3235.11
58,14:15,3387.91
59,14:30,3467.68
60,14:45,3468.16
61,15:00,3531.38
62,15:15,3546.73
63,15:30,3612.58
64,15:45,3576.28
65,16:00,3593.04
66,16:15,3648.09
67,16:30,3640.12
68,16:45,3570.18
69,17:00,3539.64
70,17:15,3591.16
71,17:30,3545.6
72,17:45,3599.97
73,18:00,3558.85
74,18:15,3566.46
75,18:30,3693.25
76,18:45,3889.92
77,19:00,3939.7
78,19:15,4024.03
79,19:30,3945.05
80,19:45,4043.88
81,20:00,3997.46
82,20:15,3978.67
83,20:30,4018.9
84,20:45,3914.38
85,21:00,4004.2
86,21:15,4021.71
87,21:30,4047.66
88,21:45,4116.42
89,22:00,4155.51
90,22:15,4169.64
91,22:30,4138.93
92,22:45,4106.46
93,23:00,4036.21
94,23:15,4011.95
95,23:30,4039.62
96,23:45,4001.79
