ts_ist,Time,SYSTEM.ID_GEN_MW.MEAS.MW (Idukki),STTN.TOTAL_GEN_MW.MEAS.MW (Kakkad) - Level 2 of Sabrigiri,SYSTEM.PO_GEN_MW.MEAS.MW (Poringal) - Level 2 of Sholayar,STTN.TOTAL_GEN_MW.MEAS.MW (Sengulam) - Level 2 of Pallivasal,Total Hydro (With Pump),STTN.TOTAL_GEN_MW.MEAS.MW (Sholayar) - Level 1  (not a pumped storage),STTN.TOTAL_GEN_MW.MEAS.MW (Sbarigiri) - Level 1 ,SYSTEM.IM_GEN_MW.MEAS.MW (Idamalayar),STTN.TOTAL_GEN_MW.MEAS.MW (Kakkayam),STTN.TOTAL_GEN_MW.MEAS.MW (Lower Periyar),SYSTEM.NR_GEN_MW.MEAS.MW (Neriamangalam),SYSTEM.PL_GEN_MW.MEAS.MW (Pallivasal) - Level 1,SYSTEM.PN_GEN_MW.MEAS.MW (Panniyar),STTN.TOTAL_GEN_MW.MEAS.MW (Kallada),STTN.TOTAL_GEN_MW.MEAS.MW (Barapole),STTN.TOTAL_GEN_MW.MEAS.MW (Vilangadu),STTN.TOTAL_GEN_MW.MEAS.MW (Poozhithode),STTN.TOTAL_GEN_MW.MEAS.MW (Urumi),STTN.TOTAL_GEN_MW.MEAS.MW (Malankara),STTN.TOTAL_GEN_MW.MEAS.MW (Chembukadavu),Total Hydro (Without Pump),Hydel total
2025-05-05 00:00:00,2025-05-05 00:00:00,-715.11,35.86,66.89,33.34,851.2,54.25,268.4,-55.29,191.59,115.59,-56.25,0,-30.89,10.42,0,0,0,0,4.72,0,787.4,1638.6
2025-05-05 00:15:00,2025-05-05 00:15:00,-684.21,35.87,63.45,25.67,809.2,54.25,266.24,-55.27,190.28,115.49,-55.89,0,-30.88,10.42,0,0,0,0,4.72,0,783.4399999999999,1592.6399999999999
2025-05-05 00:30:00,2025-05-05 00:30:00,-685.33,35.86,31.92,25.65,778.76,54.26,267.03,-55.28,190.4,115.39,-55.95,0,-30.88,10.41,0,0,0,0,4.72,0,784.3199999999999,1563.08
2025-05-05 00:45:00,2025-05-05 00:45:00,-687.02,35.84,12.0,25.65,760.51,54.26,267.76,-55.29,190.68,115.28,-56.04,0,-30.88,10.41,0,0,0,0,4.72,0,785.3199999999999,1545.83
2025-05-05 01:00:00,2025-05-05 01:00:00,-703.57,35.87,12.0,17.95,769.3900000000001,54.27,271.2,-55.3,193.7,91.42,-57.02,0,-30.9,10.42,0,0,0,0,4.72,0,768.9499999999999,1538.3400000000001
2025-05-05 01:15:00,2025-05-05 01:15:00,-723.14,35.89,12.0,12.79,783.8199999999999,54.24,272.66,-55.33,194.51,47.22,-58.29,0,-30.89,10.41,0,0,0,0,4.72,0,728.27,1512.09
2025-05-05 01:30:00,2025-05-05 01:30:00,-716.72,35.88,12.0,11.43,776.03,54.26,272.59,-55.29,153.76,47.92,-57.69,0,-30.87,10.4,0,0,0,0,4.72,0,687.5,1463.53
2025-05-05 01:45:00,2025-05-05 01:45:00,-710.01,35.88,12.0,6.42,764.31,54.25,272.28,-55.27,111.91,48.04,-57.27,0,-30.86,10.4,0,0,0,0,4.72,0,644.9999999999999,1409.31
2025-05-05 02:00:00,2025-05-05 02:00:00,-727.74,35.91,12.0,6.41,782.06,54.25,272.56,-55.25,95.26,47.99,-57.34,0,-30.88,10.4,0,0,0,0,4.72,0,628.65,1410.71
2025-05-05 02:15:00,2025-05-05 02:15:00,-724.0,35.91,12.0,6.4,778.31,54.26,270.97,-55.22,94.51,47.95,-57.02,0,-30.88,10.4,0,0,0,0,4.72,0,625.9300000000001,1404.24
2025-05-05 02:30:00,2025-05-05 02:30:00,-552.41,35.92,12.0,6.36,606.6899999999999,54.26,272.76,-55.22,43.34,48.04,-57.74,0,-30.85,10.41,0,0,0,0,4.72,0,577.34,1184.03
2025-05-05 02:45:00,2025-05-05 02:45:00,-547.37,35.93,12.0,6.35,601.65,54.24,272.55,-55.22,0.0,48.03,-57.64,0,-30.86,10.4,0,0,0,0,4.72,0,533.66,1135.31
2025-05-05 03:00:00,2025-05-05 03:00:00,-530.1,35.9,12.0,2.86,580.86,54.25,270.8,-55.17,0.0,47.93,-56.76,0,-30.86,10.4,0,0,0,0,4.72,0,530.89,1111.75
2025-05-05 03:15:00,2025-05-05 03:15:00,-507.85,35.91,12.0,0.0,555.76,35.0,269.96,-55.19,0.0,47.88,-56.57,0,-30.84,10.4,0,0,0,0,4.72,0,510.55999999999995,1066.32
2025-05-05 03:30:00,2025-05-05 03:30:00,-483.25,35.92,12.0,0.0,531.17,30.13,269.44,-55.18,0.0,47.84,-56.51,0,-30.86,10.4,0,0,0,0,4.72,0,505.08000000000004,1036.25
