ts,demand_mw,price_inr_mwh,inflow_mwh
2025-05-27 00:00:00,4668.81,3946.47,100.579
2025-05-27 00:15:00,4583.86,4004.82,100.58
2025-05-27 00:30:00,4443.09,3841.16,100.581
2025-05-27 00:45:00,4459.67,3924.4,100.582
2025-05-27 01:00:00,4357.34,3829.04,100.583
2025-05-27 01:15:00,4247.36,3914.3,100.585
2025-05-27 01:30:00,4206.18,3819.37,100.588
2025-05-27 01:45:00,4160.14,3775.86,100.591
2025-05-27 02:00:00,4009.35,3848.57,100.595
2025-05-27 02:15:00,3982.54,3801.95,100.601
2025-05-27 02:30:00,3976.13,3829.78,100.608
2025-05-27 02:45:00,3921.91,3809.69,100.616
2025-05-27 03:00:00,3901.44,3868.9,100.627
2025-05-27 03:15:00,3866.56,3998.13,100.64
2025-05-27 03:30:00,3855.13,3747.53,100.657
2025-05-27 03:45:00,3729.58,3963.36,100.678
2025-05-27 04:00:00,3716.05,3932.7,100.703
2025-05-27 04:15:00,3765.06,3788.99,100.733
2025-05-27 04:30:00,3730.93,3936.57,100.77
2025-05-27 04:45:00,3695.68,3743.55,100.815
2025-05-27 05:00:00,3654.07,3702.19,100.868
2025-05-27 05:15:00,3722.23,3987.29,100.931
2025-05-27 05:30:00,3703.95,3791.2,101.007
2025-05-27 05:45:00,3694.13,3843.57,101.095
2025-05-27 06:00:00,3768.65,3976.9,101.199
2025-05-27 06:15:00,3776.52,4185.88,101.32
2025-05-27 06:30:00,3764.82,4109.69,101.46
2025-05-27 06:45:00,3738.57,4131.88,101.621
2025-05-27 07:00:00,3706.15,4380.41,101.805
2025-05-27 07:15:00,3568.3,4396.51,102.014
2025-05-27 07:30:00,3566.58,4493.24,102.251
2025-05-27 07:45:00,3477.17,4471.28,102.517
2025-05-27 08:00:00,3449.01,4859.83,102.814
2025-05-27 08:15:00,3507.35,4695.36,103.144
2025-05-27 08:30:00,3426.95,4967.13,103.507
2025-05-27 08:45:00,3431.43,4631.44,103.906
2025-05-27 09:00:00,3439.23,4490.91,104.34
2025-05-27 09:15:00,3551.38,4462.63,104.809
2025-05-27 09:30:00,3619.03,4214.27,105.313
2025-05-27 09:45:00,3615.59,4263.14,105.85
2025-05-27 10:00:00,3676.85,3927.54,106.419
2025-05-27 10:15:00,3676.96,3733.45,107.017
2025-05-27 10:30:00,3629.85,3698.44,107.642
2025-05-27 10:45:00,3590.38,3452.32,108.288
2025-05-27 11:00:00,3586.14,3022.58,108.951
2025-05-27 11:15:00,3578.66,3084.17,109.626
2025-05-27 11:30:00,3579.21,2826.96,110.306
2025-05-27 11:45:00,3596.47,2661.79,110.985
2025-05-27 12:00:00,3634.49,2509.28,111.657
2025-05-27 12:15:00,3615.72,2486.21,112.312
2025-05-27 12:30:00,3652.81,2346.31,112.945
2025-05-27 12:45:00,3677.24,2307.22,113.546
2025-05-27 13:00:00,3653.66,2276.37,114.11
2025-05-27 13:15:00,3689.94,2283.9,114.627
2025-05-27 13:30:00,3748.86,2374.83,115.091
2025-05-27 13:45:00,3736.34,2556.9,115.495
2025-05-27 14:00:00,3868.42,2636.59,115.835
2025-05-27 14:15:00,3984.29,2686.78,116.104
2025-05-27 14:30:00,4093.41,2790.81,116.3
2025-05-27 14:45:00,4084.9,2821.41,116.418
2025-05-27 15:00:00,4245.98,3044.14,116.458
2025-05-27 15:15:00,4179.47,3163.3,116.418
2025-05-27 15:30:00,4294.35,3252.82,116.3
2025-05-27 15:45:00,4290.79,3531.16,116.104
2025-05-27 16:00:00,4345.98,3494.19,115.835
2025-05-27 16:15:00,4360.62,3810.12,115.495
2025-05-27 16:30:00,4371.6,3949.81,115.091
2025-05-27 16:45:00,4359.26,3952.66,114.627
2025-05-27 17:00:00,4266.42,4297.46,114.11
2025-05-27 17:15:00,4305.08,4378.53,113.546
2025-05-27 17:30:00,4219.66,4556.09,112.945
2025-05-27 17:45:00,4224.06,5260.49,112.312
2025-05-27 18:00:00,4213.76,5539.51,111.657
2025-05-27 18:15:00,4242.19,10000.0,110.985
2025-05-27 18:30:00,4409.49,6319.38,110.306
2025-05-27 18:45:00,4657.82,6813.23,109.626
2025-05-27 19:00:00,4747.92,7086.2,108.951
2025-05-27 19:15:00,4716.92,7323.78,108.288
2025-05-27 19:30:00,4793.67,7861.45,107.642
2025-05-27 19:45:00,4793.16,8365.76,107.017
2025-05-27 20:00:00,4802.99,8567.34,106.419
2025-05-27 20:15:00,4705.18,7940.95,105.85
2025-05-27 20:30:00,4714.06,7846.01,105.313
2025-05-27 20:45:00,4793.81,7608.13,104.809
2025-05-27 21:00:00,4789.54,6965.55,104.34
2025-05-27 21:15:00,4782.64,6859.94,103.906
2025-05-27 21:30:00,4921.96,6068.86,103.507
2025-05-27 21:45:00,4958.23,5907.14,103.144
2025-05-27 22:00:00,5006.4,5648.89,102.814
2025-05-27 22:15:00,4948.52,5115.96,102.517
2025-05-27 22:30:00,4907.8,4517.64,102.251
2025-05-27 22:45:00,4825.74,4390.25,102.014
2025-05-27 23:00:00,4902.26,4190.65,101.805
2025-05-27 23:15:00,4892.48,4105.3,101.621
2025-05-27 23:30:00,4840.59,3928.75,101.46
2025-05-27 23:45:00,4833.28,3810.23,101.32
2025-05-28 00:00:00,4523.25,3256.51,106.968
2025-05-28 00:15:00,4447.52,3445.35,106.968
2025-05-28 00:30:00,4311.86,3295.08,106.969
2025-05-28 00:45:00,4212.45,3345.85,106.97
2025-05-28 01:00:00,4179.26,3181.26,106.972
2025-05-28 01:15:00,4098.6,3280.07,106.974
2025-05-28 01:30:00,4064.82,3207.06,106.977
2025-05-28 01:45:00,3928.8,3281.45,106.981
2025-05-28 02:00:00,3894.93,3209.68,106.985
2025-05-28 02:15:00,3873.93,3439.61,106.991
2025-05-28 02:30:00,3782.87,3334.22,106.998
2025-05-28 02:45:00,3804.18,3320.91,107.007
2025-05-28 03:00:00,3742.12,3175.93,107.019
2025-05-28 03:15:00,3707.86,3138.47,107.033
2025-05-28 03:30:00,3643.04,3159.52,107.051
2025-05-28 03:45:00,3676.06,3384.7,107.072
2025-05-28 04:00:00,3548.24,3224.89,107.099
2025-05-28 04:15:00,3587.55,3173.68,107.131
2025-05-28 04:30:00,3544.35,3299.59,107.171
2025-05-28 04:45:00,3602.7,3191.37,107.218
2025-05-28 05:00:00,3574.73,3300.41,107.275
2025-05-28 05:15:00,3578.38,3246.71,107.342
2025-05-28 05:30:00,3579.18,3267.21,107.422
2025-05-28 05:45:00,3598.01,3552.45,107.517
2025-05-28 06:00:00,3599.45,3360.17,107.627
2025-05-28 06:15:00,3594.48,3528.85,107.755
2025-05-28 06:30:00,3564.38,3588.05,107.904
2025-05-28 06:45:00,3571.38,3771.49,108.075
2025-05-28 07:00:00,3529.46,3901.0,108.271
2025-05-28 07:15:00,3466.15,3680.89,108.494
2025-05-28 07:30:00,3430.9,3804.53,108.746
2025-05-28 07:45:00,3341.81,3934.77,109.028
2025-05-28 08:00:00,3388.92,4195.07,109.344
2025-05-28 08:15:00,3308.41,4185.68,109.695
2025-05-28 08:30:00,3287.92,3948.94,110.082
2025-05-28 08:45:00,3279.78,3962.22,110.506
2025-05-28 09:00:00,3353.86,3879.92,110.967
